data_as_of,death_year,death_month,jurisdiction_occurrence,drug_involved,time_period,month_ending_date,drug_overdose_deaths,footnote
01/05/2025,2019,8,United States,Fentanyl,12 month-ending,08/31/2019,32383,
01/05/2025,2019,8,United States,Gabapentin,12 month-ending,08/31/2019,2153,
01/05/2025,2019,8,United States,Heroin,12 month-ending,08/31/2019,14831,
01/05/2025,2019,8,United States,Methamphetamine,12 month-ending,08/31/2019,13756,
01/05/2025,2019,8,United States,Oxycodone,12 month-ending,08/31/2019,4636,
01/05/2025,2019,8,United States,Xylazine,12 month-ending,08/31/2019,653,
01/05/2025,2019,9,United States,Cocaine,12 month-ending,09/30/2019,16018,
01/05/2025,2019,9,United States,Fentanyl,12 month-ending,09/30/2019,32943,
01/05/2025,2019,9,United States,Gabapentin,12 month-ending,09/30/2019,2218,
01/05/2025,2019,9,United States,Heroin,12 month-ending,09/30/2019,14705,
01/05/2025,2019,9,United States,Methamphetamine,12 month-ending,09/30/2019,14095,
01/05/2025,2019,9,United States,Oxycodone,12 month-ending,09/30/2019,4621,
01/05/2025,2019,9,United States,Xylazine,12 month-ending,09/30/2019,704,
01/05/2025,2019,10,United States,Cocaine,12 month-ending,10/31/2019,16296,
01/05/2025,2019,10,United States,Fentanyl,12 month-ending,10/31/2019,33641,
01/05/2025,2019,10,United States,Gabapentin,12 month-ending,10/31/2019,2354,
01/05/2025,2019,10,United States,Heroin,12 month-ending,10/31/2019,14602,
01/05/2025,2019,10,United States,Methamphetamine,12 month-ending,10/31/2019,14473,
01/05/2025,2019,10,United States,Oxycodone,12 month-ending,10/31/2019,4619,
01/05/2025,2019,10,United States,Xylazine,12 month-ending,10/31/2019,749,
01/05/2025,2019,11,United States,Cocaine,12 month-ending,11/30/2019,16679,
01/05/2025,2019,11,United States,Fentanyl,12 month-ending,11/30/2019,34549,
01/05/2025,2019,11,United States,Gabapentin,12 month-ending,11/30/2019,2496,
01/05/2025,2019,11,United States,Heroin,12 month-ending,11/30/2019,14658,
01/05/2025,2019,11,United States,Methamphetamine,12 month-ending,11/30/2019,14810,
01/05/2025,2019,11,United States,Oxycodone,12 month-ending,11/30/2019,4650,
01/05/2025,2019,11,United States,Xylazine,12 month-ending,11/30/2019,823,
01/05/2025,2019,12,United States,Cocaine,12 month-ending,12/31/2019,16997,
01/05/2025,2019,12,United States,Fentanyl,12 month-ending,12/31/2019,35473,
01/05/2025,2019,12,United States,Gabapentin,12 month-ending,12/31/2019,2579,
01/05/2025,2019,12,United States,Heroin,12 month-ending,12/31/2019,14525,
01/05/2025,2019,12,United States,Methamphetamine,12 month-ending,12/31/2019,15096,
01/05/2025,2019,12,United States,Oxycodone,12 month-ending,12/31/2019,4630,
01/05/2025,2019,12,United States,Xylazine,12 month-ending,12/31/2019,870,
01/05/2025,2020,1,United States,Cocaine,12 month-ending,01/31/2020,17356,
01/05/2025,2020,1,United States,Fentanyl,12 month-ending,01/31/2020,36420,
01/05/2025,2020,1,United States,Gabapentin,12 month-ending,01/31/2020,2713,
01/05/2025,2020,1,United States,Heroin,12 month-ending,01/31/2020,14456,
01/05/2025,2020,1,United States,Methamphetamine,12 month-ending,01/31/2020,15370,
01/05/2025,2020,1,United States,Oxycodone,12 month-ending,01/31/2020,4679,
01/05/2025,2020,1,United States,Xylazine,12 month-ending,01/31/2020,923,
01/05/2025,2020,2,United States,Cocaine,12 month-ending,02/29/2020,17784,
01/05/2025,2020,2,United States,Fentanyl,12 month-ending,02/29/2020,37554,
01/05/2025,2020,2,United States,Gabapentin,12 month-ending,02/29/2020,2851,
01/05/2025,2020,2,United States,Heroin,12 month-ending,02/29/2020,14420,
01/05/2025,2020,2,United States,Methamphetamine,12 month-ending,02/29/2020,15790,
01/05/2025,2020,2,United States,Oxycodone,12 month-ending,02/29/2020,4690,
01/05/2025,2020,2,United States,Xylazine,12 month-ending,02/29/2020,1009,
01/05/2025,2020,3,United States,Cocaine,12 month-ending,03/31/2020,18256,
01/05/2025,2020,3,United States,Fentanyl,12 month-ending,03/31/2020,38829,
01/05/2025,2020,3,United States,Gabapentin,12 month-ending,03/31/2020,3007,
01/05/2025,2020,3,United States,Heroin,12 month-ending,03/31/2020,14349,
01/05/2025,2020,3,United States,Methamphetamine,12 month-ending,03/31/2020,16307,
01/05/2025,2020,3,United States,Oxycodone,12 month-ending,03/31/2020,4728,
01/05/2025,2020,3,United States,Xylazine,12 month-ending,03/31/2020,1051,
01/05/2025,2020,4,United States,Cocaine,12 month-ending,04/30/2020,18963,
01/05/2025,2020,4,United States,Fentanyl,12 month-ending,04/30/2020,40948,
01/05/2025,2020,4,United States,Gabapentin,12 month-ending,04/30/2020,3230,
01/05/2025,2020,4,United States,Heroin,12 month-ending,04/30/2020,14470,
01/05/2025,2020,4,United States,Methamphetamine,12 month-ending,04/30/2020,17050,
01/05/2025,2020,4,United States,Oxycodone,12 month-ending,04/30/2020,4750,
01/05/2025,2020,4,United States,Xylazine,12 month-ending,04/30/2020,1109,
01/05/2025,2020,5,United States,Cocaine,12 month-ending,05/31/2020,19820,
01/05/2025,2020,5,United States,Fentanyl,12 month-ending,05/31/2020,44246,
01/05/2025,2020,5,United States,Gabapentin,12 month-ending,05/31/2020,3460,
01/05/2025,2020,5,United States,Heroin,12 month-ending,05/31/2020,14792,
01/05/2025,2020,5,United States,Methamphetamine,12 month-ending,05/31/2020,17920,
01/05/2025,2020,5,United States,Oxycodone,12 month-ending,05/31/2020,4908,
01/05/2025,2020,5,United States,Xylazine,12 month-ending,05/31/2020,1220,
01/05/2025,2020,6,United States,Cocaine,12 month-ending,06/30/2020,20292,
01/05/2025,2020,6,United States,Fentanyl,12 month-ending,06/30/2020,46541,
01/05/2025,2020,6,United States,Gabapentin,12 month-ending,06/30/2020,3550,
01/05/2025,2020,6,United States,Heroin,12 month-ending,06/30/2020,14820,
01/05/2025,2020,6,United States,Methamphetamine,12 month-ending,06/30/2020,18590,
01/05/2025,2020,6,United States,Oxycodone,12 month-ending,06/30/2020,4951,
01/05/2025,2020,6,United States,Xylazine,12 month-ending,06/30/2020,1308,
01/05/2025,2020,7,United States,Cocaine,12 month-ending,07/31/2020,20630,
01/05/2025,2020,7,United States,Fentanyl,12 month-ending,07/31/2020,48580,
01/05/2025,2020,7,United States,Gabapentin,12 month-ending,07/31/2020,3690,
01/05/2025,2020,7,United States,Heroin,12 month-ending,07/31/2020,14783,
01/05/2025,2020,7,United States,Methamphetamine,12 month-ending,07/31/2020,19310,
01/05/2025,2020,7,United States,Oxycodone,12 month-ending,07/31/2020,4992,
01/05/2025,2020,7,United States,Xylazine,12 month-ending,07/31/2020,1365,
01/05/2025,2020,8,United States,Cocaine,12 month-ending,08/31/2020,20812,
01/05/2025,2020,8,United States,Fentanyl,12 month-ending,08/31/2020,50413,
01/05/2025,2020,8,United States,Gabapentin,12 month-ending,08/31/2020,3811,
01/05/2025,2020,8,United States,Heroin,12 month-ending,08/31/2020,14649,
01/05/2025,2020,8,United States,Methamphetamine,12 month-ending,08/31/2020,20279,
01/05/2025,2020,8,United States,Oxycodone,12 month-ending,08/31/2020,5076,
01/05/2025,2020,8,United States,Xylazine,12 month-ending,08/31/2020,1426,
01/05/2025,2020,9,United States,Cocaine,12 month-ending,09/30/2020,21036,
01/05/2025,2020,9,United States,Fentanyl,12 month-ending,09/30/2020,51998,
01/05/2025,2020,9,United States,Gabapentin,12 month-ending,09/30/2020,3855,
01/05/2025,2020,9,United States,Heroin,12 month-ending,09/30/2020,14497,
01/05/2025,2020,9,United States,Methamphetamine,12 month-ending,09/30/2020,20812,
01/05/2025,2020,9,United States,Oxycodone,12 month-ending,09/30/2020,5083,
01/05/2025,2020,9,United States,Xylazine,12 month-ending,09/30/2020,1480,
01/05/2025,2020,10,United States,Cocaine,12 month-ending,10/31/2020,21063,
01/05/2025,2020,10,United States,Fentanyl,12 month-ending,10/31/2020,53287,
01/05/2025,2020,10,United States,Gabapentin,12 month-ending,10/31/2020,3874,
01/05/2025,2020,10,United States,Heroin,12 month-ending,10/31/2020,14209,
01/05/2025,2020,10,United States,Methamphetamine,12 month-ending,10/31/2020,21250,
01/05/2025,2020,10,United States,Oxycodone,12 month-ending,10/31/2020,5109,
01/05/2025,2020,10,United States,Xylazine,12 month-ending,10/31/2020,1553,
01/05/2025,2020,11,United States,Cocaine,12 month-ending,11/30/2020,21056,
01/05/2025,2020,11,United States,Fentanyl,12 month-ending,11/30/2020,54544,
01/05/2025,2020,11,United States,Gabapentin,12 month-ending,11/30/2020,3885,
01/05/2025,2020,11,United States,Heroin,12 month-ending,11/30/2020,13897,
01/05/2025,2020,11,United States,Methamphetamine,12 month-ending,11/30/2020,21869,
01/05/2025,2020,11,United States,Oxycodone,12 month-ending,11/30/2020,5114,
01/05/2025,2020,11,United States,Xylazine,12 month-ending,11/30/2020,1641,
01/05/2025,2020,12,United States,Cocaine,12 month-ending,12/31/2020,21079,
01/05/2025,2020,12,United States,Fentanyl,12 month-ending,12/31/2020,55821,
01/05/2025,2020,12,United States,Gabapentin,12 month-ending,12/31/2020,3941,
01/05/2025,2020,12,United States,Heroin,12 month-ending,12/31/2020,13643,
01/05/2025,2020,12,United States,Methamphetamine,12 month-ending,12/31/2020,22559,
01/05/2025,2020,12,United States,Oxycodone,12 month-ending,12/31/2020,5124,
01/05/2025,2020,12,United States,Xylazine,12 month-ending,12/31/2020,1760,
01/05/2025,2021,1,United States,Cocaine,12 month-ending,01/31/2021,21473,
01/05/2025,2021,1,United States,Fentanyl,12 month-ending,01/31/2021,57891,
01/05/2025,2021,1,United States,Gabapentin,12 month-ending,01/31/2021,4008,
01/05/2025,2021,1,United States,Heroin,12 month-ending,01/31/2021,13480,
01/05/2025,2021,1,United States,Methamphetamine,12 month-ending,01/31/2021,23561,
01/05/2025,2021,1,United States,Oxycodone,12 month-ending,01/31/2021,5105,
01/05/2025,2021,1,United States,Xylazine,12 month-ending,01/31/2021,1920,
01/05/2025,2021,2,United States,Cocaine,12 month-ending,02/28/2021,21581,
01/05/2025,2021,2,United States,Fentanyl,12 month-ending,02/28/2021,59147,
01/05/2025,2021,2,United States,Gabapentin,12 month-ending,02/28/2021,4035,
01/05/2025,2021,2,United States,Heroin,12 month-ending,02/28/2021,13132,
01/05/2025,2021,2,United States,Methamphetamine,12 month-ending,02/28/2021,24307,
01/05/2025,2021,2,United States,Oxycodone,12 month-ending,02/28/2021,5150,
01/05/2025,2021,2,United States,Xylazine,12 month-ending,02/28/2021,2065,
01/05/2025,2021,3,United States,Cocaine,12 month-ending,03/31/2021,22027,
01/05/2025,2021,3,United States,Fentanyl,12 month-ending,03/31/2021,61240,
01/05/2025,2021,3,United States,Gabapentin,12 month-ending,03/31/2021,4086,
01/05/2025,2021,3,United States,Heroin,12 month-ending,03/31/2021,12905,
01/05/2025,2021,3,United States,Methamphetamine,12 month-ending,03/31/2021,25282,
01/05/2025,2021,3,United States,Oxycodone,12 month-ending,03/31/2021,5175,
01/05/2025,2021,3,United States,Xylazine,12 month-ending,03/31/2021,2247,
01/05/2025,2021,4,United States,Cocaine,12 month-ending,04/30/2021,22367,
01/05/2025,2021,4,United States,Fentanyl,12 month-ending,04/30/2021,62669,
01/05/2025,2021,4,United States,Gabapentin,12 month-ending,04/30/2021,4098,
01/05/2025,2021,4,United States,Heroin,12 month-ending,04/30/2021,12528,
01/05/2025,2021,4,United States,Methamphetamine,12 month-ending,04/30/2021,26163,
01/05/2025,2021,4,United States,Oxycodone,12 month-ending,04/30/2021,5229,
01/05/2025,2021,4,United States,Xylazine,12 month-ending,04/30/2021,2410,
01/05/2025,2021,5,United States,Cocaine,12 month-ending,05/31/2021,22364,
01/05/2025,2021,5,United States,Fentanyl,12 month-ending,05/31/2021,62741,
01/05/2025,2021,5,United States,Gabapentin,12 month-ending,05/31/2021,4071,
01/05/2025,2021,5,United States,Heroin,12 month-ending,05/31/2021,11816,
01/05/2025,2021,5,United States,Methamphetamine,12 month-ending,05/31/2021,26809,
01/05/2025,2021,5,United States,Oxycodone,12 month-ending,05/31/2021,5148,
01/05/2025,2021,5,United States,Xylazine,12 month-ending,05/31/2021,2580,
01/05/2025,2021,6,United States,Cocaine,12 month-ending,06/30/2021,22702,
01/05/2025,2021,6,United States,Fentanyl,12 month-ending,06/30/2021,63579,
01/05/2025,2021,6,United States,Gabapentin,12 month-ending,06/30/2021,4117,
01/05/2025,2021,6,United States,Heroin,12 month-ending,06/30/2021,11345,
01/05/2025,2021,6,United States,Methamphetamine,12 month-ending,06/30/2021,27579,
01/05/2025,2021,6,United States,Oxycodone,12 month-ending,06/30/2021,5143,
01/05/2025,2021,6,United States,Xylazine,12 month-ending,06/30/2021,2759,
01/05/2025,2021,7,United States,Cocaine,12 month-ending,07/31/2021,23185,
01/05/2025,2021,7,United States,Fentanyl,12 month-ending,07/31/2021,64572,
01/05/2025,2021,7,United States,Gabapentin,12 month-ending,07/31/2021,4120,
01/05/2025,2021,7,United States,Heroin,12 month-ending,07/31/2021,10980,
01/05/2025,2021,7,United States,Methamphetamine,12 month-ending,07/31/2021,28294,
01/05/2025,2021,7,United States,Oxycodone,12 month-ending,07/31/2021,5128,
01/05/2025,2021,7,United States,Xylazine,12 month-ending,07/31/2021,2939,
01/05/2025,2021,8,United States,Cocaine,12 month-ending,08/31/2021,23821,
01/05/2025,2021,8,United States,Fentanyl,12 month-ending,08/31/2021,65745,
01/05/2025,2021,8,United States,Gabapentin,12 month-ending,08/31/2021,4137,
01/05/2025,2021,8,United States,Heroin,12 month-ending,08/31/2021,10648,
01/05/2025,2021,8,United States,Methamphetamine,12 month-ending,08/31/2021,28826,
01/05/2025,2021,8,United States,Oxycodone,12 month-ending,08/31/2021,5143,
01/05/2025,2021,8,United States,Xylazine,12 month-ending,08/31/2021,3134,
01/05/2025,2021,9,United States,Cocaine,12 month-ending,09/30/2021,24417,
01/05/2025,2021,9,United States,Fentanyl,12 month-ending,09/30/2021,67070,
01/05/2025,2021,9,United States,Gabapentin,12 month-ending,09/30/2021,4195,
01/05/2025,2021,9,United States,Heroin,12 month-ending,09/30/2021,10374,
01/05/2025,2021,9,United States,Methamphetamine,12 month-ending,09/30/2021,29614,
01/05/2025,2021,9,United States,Oxycodone,12 month-ending,09/30/2021,5163,
01/05/2025,2021,9,United States,Xylazine,12 month-ending,09/30/2021,3333,
01/05/2025,2021,10,United States,Cocaine,12 month-ending,10/31/2021,25099,
01/05/2025,2021,10,United States,Fentanyl,12 month-ending,10/31/2021,68408,
01/05/2025,2021,10,United States,Gabapentin,12 month-ending,10/31/2021,4240,
01/05/2025,2021,10,United States,Heroin,12 month-ending,10/31/2021,10168,
01/05/2025,2021,10,United States,Methamphetamine,12 month-ending,10/31/2021,30404,
01/05/2025,2021,10,United States,Oxycodone,12 month-ending,10/31/2021,5124,
01/05/2025,2021,10,United States,Xylazine,12 month-ending,10/31/2021,3513,
01/05/2025,2021,11,United States,Cocaine,12 month-ending,11/30/2021,25725,
01/05/2025,2021,11,United States,Fentanyl,12 month-ending,11/30/2021,69386,
01/05/2025,2021,11,United States,Gabapentin,12 month-ending,11/30/2021,4280,
01/05/2025,2021,11,United States,Heroin,12 month-ending,11/30/2021,9833,
01/05/2025,2021,11,United States,Methamphetamine,12 month-ending,11/30/2021,30949,
01/05/2025,2021,11,United States,Oxycodone,12 month-ending,11/30/2021,5094,
01/05/2025,2021,11,United States,Xylazine,12 month-ending,11/30/2021,3638,
01/05/2025,2021,12,United States,Cocaine,12 month-ending,12/31/2021,26416,
01/05/2025,2021,12,United States,Fentanyl,12 month-ending,12/31/2021,70521,
01/05/2025,2021,12,United States,Gabapentin,12 month-ending,12/31/2021,4318,
01/05/2025,2021,12,United States,Heroin,12 month-ending,12/31/2021,9504,
01/05/2025,2021,12,United States,Methamphetamine,12 month-ending,12/31/2021,31461,
01/05/2025,2021,12,United States,Oxycodone,12 month-ending,12/31/2021,5090,
01/05/2025,2021,12,United States,Xylazine,12 month-ending,12/31/2021,3792,
01/05/2025,2022,1,United States,Cocaine,12 month-ending,01/31/2022,26741,
01/05/2025,2022,1,United States,Fentanyl,12 month-ending,01/31/2022,70897,
01/05/2025,2022,1,United States,Gabapentin,12 month-ending,01/31/2022,4295,
01/05/2025,2022,1,United States,Heroin,12 month-ending,01/31/2022,9163,
01/05/2025,2022,1,United States,Methamphetamine,12 month-ending,01/31/2022,31726,
01/05/2025,2022,1,United States,Oxycodone,12 month-ending,01/31/2022,5035,
01/05/2025,2022,1,United States,Xylazine,12 month-ending,01/31/2022,3936,
01/05/2025,2022,2,United States,Cocaine,12 month-ending,02/28/2022,27254,
01/05/2025,2022,2,United States,Fentanyl,12 month-ending,02/28/2022,71853,
01/05/2025,2022,2,United States,Gabapentin,12 month-ending,02/28/2022,4301,
01/05/2025,2022,2,United States,Heroin,12 month-ending,02/28/2022,8938,
01/05/2025,2022,2,United States,Methamphetamine,12 month-ending,02/28/2022,32151,
01/05/2025,2022,2,United States,Oxycodone,12 month-ending,02/28/2022,4997,
01/05/2025,2022,2,United States,Xylazine,12 month-ending,02/28/2022,4012,
01/05/2025,2022,3,United States,Cocaine,12 month-ending,03/31/2022,27412,
01/05/2025,2022,3,United States,Fentanyl,12 month-ending,03/31/2022,71919,
01/05/2025,2022,3,United States,Gabapentin,12 month-ending,03/31/2022,4295,
01/05/2025,2022,3,United States,Heroin,12 month-ending,03/31/2022,8502,
01/05/2025,2022,3,United States,Methamphetamine,12 month-ending,03/31/2022,32281,
01/05/2025,2022,3,United States,Oxycodone,12 month-ending,03/31/2022,4949,
01/05/2025,2022,3,United States,Xylazine,12 month-ending,03/31/2022,4139,
01/05/2025,2022,4,United States,Cocaine,12 month-ending,04/30/2022,27401,
01/05/2025,2022,4,United States,Fentanyl,12 month-ending,04/30/2022,71572,
01/05/2025,2022,4,United States,Gabapentin,12 month-ending,04/30/2022,4244,
01/05/2025,2022,4,United States,Heroin,12 month-ending,04/30/2022,8081,
01/05/2025,2022,4,United States,Methamphetamine,12 month-ending,04/30/2022,32019,
01/05/2025,2022,4,United States,Oxycodone,12 month-ending,04/30/2022,4847,
01/05/2025,2022,4,United States,Xylazine,12 month-ending,04/30/2022,4280,
01/05/2025,2022,5,United States,Cocaine,12 month-ending,05/31/2022,27535,
01/05/2025,2022,5,United States,Fentanyl,12 month-ending,05/31/2022,71424,
01/05/2025,2022,5,United States,Gabapentin,12 month-ending,05/31/2022,4239,
01/05/2025,2022,5,United States,Heroin,12 month-ending,05/31/2022,7729,
01/05/2025,2022,5,United States,Methamphetamine,12 month-ending,05/31/2022,31961,
01/05/2025,2022,5,United States,Oxycodone,12 month-ending,05/31/2022,4761,
01/05/2025,2022,5,United States,Xylazine,12 month-ending,05/31/2022,4371,
01/05/2025,2022,6,United States,Cocaine,12 month-ending,06/30/2022,27693,
01/05/2025,2022,6,United States,Fentanyl,12 month-ending,06/30/2022,71407,
01/05/2025,2022,6,United States,Gabapentin,12 month-ending,06/30/2022,4256,
01/05/2025,2022,6,United States,Heroin,12 month-ending,06/30/2022,7465,
01/05/2025,2022,6,United States,Methamphetamine,12 month-ending,06/30/2022,32098,
01/05/2025,2022,6,United States,Oxycodone,12 month-ending,06/30/2022,4694,
01/05/2025,2022,6,United States,Xylazine,12 month-ending,06/30/2022,4417,
01/05/2025,2022,7,United States,Cocaine,12 month-ending,07/31/2022,27864,
01/05/2025,2022,7,United States,Fentanyl,12 month-ending,07/31/2022,71671,
01/05/2025,2022,7,United States,Gabapentin,12 month-ending,07/31/2022,4235,
01/05/2025,2022,7,United States,Heroin,12 month-ending,07/31/2022,7131,
01/05/2025,2022,7,United States,Methamphetamine,12 month-ending,07/31/2022,32318,
01/05/2025,2022,7,United States,Oxycodone,12 month-ending,07/31/2022,4688,
01/05/2025,2022,7,United States,Xylazine,12 month-ending,07/31/2022,4487,
01/05/2025,2022,8,United States,Cocaine,12 month-ending,08/31/2022,28036,
01/05/2025,2022,8,United States,Fentanyl,12 month-ending,08/31/2022,71858,
01/05/2025,2022,8,United States,Gabapentin,12 month-ending,08/31/2022,4242,
01/05/2025,2022,8,United States,Heroin,12 month-ending,08/31/2022,6829,
01/05/2025,2022,8,United States,Methamphetamine,12 month-ending,08/31/2022,32276,
01/05/2025,2022,8,United States,Oxycodone,12 month-ending,08/31/2022,4569,
01/05/2025,2022,8,United States,Xylazine,12 month-ending,08/31/2022,4554,
01/05/2025,2022,9,United States,Cocaine,12 month-ending,09/30/2022,28260,
01/05/2025,2022,9,United States,Fentanyl,12 month-ending,09/30/2022,71894,
01/05/2025,2022,9,United States,Gabapentin,12 month-ending,09/30/2022,4275,
01/05/2025,2022,9,United States,Heroin,12 month-ending,09/30/2022,6566,
01/05/2025,2022,9,United States,Methamphetamine,12 month-ending,09/30/2022,32333,
01/05/2025,2022,9,United States,Oxycodone,12 month-ending,09/30/2022,4537,
01/05/2025,2022,9,United States,Xylazine,12 month-ending,09/30/2022,4563,
01/05/2025,2022,10,United States,Cocaine,12 month-ending,10/31/2022,28581,
01/05/2025,2022,10,United States,Fentanyl,12 month-ending,10/31/2022,72457,
01/05/2025,2022,10,United States,Gabapentin,12 month-ending,10/31/2022,4314,
01/05/2025,2022,10,United States,Heroin,12 month-ending,10/31/2022,6306,
01/05/2025,2022,10,United States,Methamphetamine,12 month-ending,10/31/2022,32502,
01/05/2025,2022,10,United States,Oxycodone,12 month-ending,10/31/2022,4539,
01/05/2025,2022,10,United States,Xylazine,12 month-ending,10/31/2022,4640,
01/05/2025,2022,11,United States,Cocaine,12 month-ending,11/30/2022,28909,
01/05/2025,2022,11,United States,Fentanyl,12 month-ending,11/30/2022,73083,
01/05/2025,2022,11,United States,Gabapentin,12 month-ending,11/30/2022,4332,
01/05/2025,2022,11,United States,Heroin,12 month-ending,11/30/2022,6124,
01/05/2025,2022,11,United States,Methamphetamine,12 month-ending,11/30/2022,32756,
01/05/2025,2022,11,United States,Oxycodone,12 month-ending,11/30/2022,4514,
01/05/2025,2022,11,United States,Xylazine,12 month-ending,11/30/2022,4730,
01/05/2025,2022,12,United States,Cocaine,12 month-ending,12/31/2022,29340,
01/05/2025,2022,12,United States,Fentanyl,12 month-ending,12/31/2022,73820,
01/05/2025,2022,12,United States,Gabapentin,12 month-ending,12/31/2022,4348,
01/05/2025,2022,12,United States,Heroin,12 month-ending,12/31/2022,5976,
01/05/2025,2022,12,United States,Methamphetamine,12 month-ending,12/31/2022,33278,
01/05/2025,2022,12,United States,Oxycodone,12 month-ending,12/31/2022,4507,
01/05/2025,2022,12,United States,Xylazine,12 month-ending,12/31/2022,4819,
01/05/2025,2023,1,United States,Cocaine,12 month-ending,01/31/2023,29745,
01/05/2025,2023,1,United States,Fentanyl,12 month-ending,01/31/2023,74373,
01/05/2025,2023,1,United States,Gabapentin,12 month-ending,01/31/2023,4303,
01/05/2025,2023,1,United States,Heroin,12 month-ending,01/31/2023,5707,
01/05/2025,2023,1,United States,Methamphetamine,12 month-ending,01/31/2023,33513,
01/05/2025,2023,1,United States,Oxycodone,12 month-ending,01/31/2023,4453,
01/05/2025,2023,1,United States,Xylazine,12 month-ending,01/31/2023,4853,
01/05/2025,2023,2,United States,Cocaine,12 month-ending,02/28/2023,29956,
01/05/2025,2023,2,United States,Fentanyl,12 month-ending,02/28/2023,74497,
01/05/2025,2023,2,United States,Gabapentin,12 month-ending,02/28/2023,4324,
01/05/2025,2023,2,United States,Heroin,12 month-ending,02/28/2023,5529,
01/05/2025,2023,2,United States,Methamphetamine,12 month-ending,02/28/2023,33662,
01/05/2025,2023,2,United States,Oxycodone,12 month-ending,02/28/2023,4412,
01/05/2025,2023,2,United States,Xylazine,12 month-ending,02/28/2023,4970,
01/05/2025,2023,3,United States,Cocaine,12 month-ending,03/31/2023,30280,
